,group_id,teacher,school,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,19,20,21,22,23,24,26,27,28,29,30,33,34,35,36,37,38,39,score,square_pyramid,percentage
1,103,anon,anon,7,7,7,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.166,7.10E-02,0.37
2,104,anon,anon,7,7,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.002,9.60E-05,0.03
3,106,anon,anon,7,7,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.002,9.60E-05,0.03
4,109,anon,anon,7,7,7,1,1,2,1,2,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,2,2,4,4,4,0.241,2.36E-01,0.3
5,110,anon,anon,7,7,7,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,4,1,2,2,4,4,4,4,4,4,4,4,0.284,1.71E-01,0.5
6,111,anon,anon,7,7,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.002,9.60E-05,0.03
7,112,anon,anon,7,7,7,1,2,1,2,1,2,5,5,5,1,2,2,5,5,1,1,1,2,1,1,2,1,2,4,4,1,2,2,4,4,0.331,2.99E-01,0.37
8,116,anon,anon,7,7,7,7,1,1,2,2,5,1,2,1,2,2,1,5,5,5,5,5,5,5,1,2,2,4,4,4,4,4,4,4,4,0.108,6.86E-02,0.21
9,120,anon,anon,7,7,7,7,1,1,1,1,1,1,2,2,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.069,2.01E-02,0.24
10,124,anon,anon,7,7,7,7,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.002,1.17E-04,0.03
11,126,anon,anon,7,7,7,7,7,1,1,2,5,5,5,1,2,2,5,5,5,5,1,1,1,1,2,2,4,1,4,4,4,4,4,4,4,0.229,1.89E-01,0.29
12,137,anon,anon,7,7,7,7,7,7,7,7,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.031,5.43E-03,0.16
13,144,anon,anon,7,7,7,7,7,7,7,7,1,1,1,2,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,0.157,6.68E-02,0.36
14,147,anon,anon,7,7,7,7,7,7,1,2,5,5,5,1,2,2,5,5,5,5,1,1,2,1,1,1,2,2,1,1,2,2,4,4,4,0.339,3.17E-01,0.33
15,148,anon,anon,7,7,7,7,7,7,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.016,2.02E-03,0.11
16,151,anon,anon,7,7,7,7,7,7,7,1,1,1,1,1,2,2,5,1,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.097,3.81E-02,0.27
17,154,anon,anon,7,7,7,7,7,7,7,1,1,2,2,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.031,1.11E-02,0.12
18,156,anon,anon,7,7,7,7,7,7,7,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.003,1.61E-04,0.04
19,158,anon,anon,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,3,1,3,1,3,3,3,3,3,3,3,3,3,0.086,3.45E-02,0.21
20,163,anon,anon,7,7,7,7,7,7,7,7,7,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.003,2.04E-04,0.04
21,164,anon,anon,7,7,7,7,7,7,7,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.003,1.61E-04,0.04
22,165,anon,anon,7,7,7,7,7,7,7,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.009,8.06E-04,0.08
23,166,anon,anon,7,7,7,7,7,7,7,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.003,1.61E-04,0.04
24,18,anon,anon,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,4,1,2,1,1,4,4,4,4,4,4,4,0.399,3.06E-01,0.55
25,185,anon,anon,7,7,7,7,7,7,7,7,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,4,4,4,4,4,4,4,4,4,0.262,1.44E-01,0.48
26,194,anon,anon,7,7,7,7,7,7,7,7,7,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0.767,7.38E-01,0.79
27,211,anon,anon,7,7,7,7,7,7,7,7,7,7,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.011,1.16E-03,0.09
28,216,anon,anon,7,7,7,7,7,7,7,7,7,7,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,0.627,5.77E-01,0.65
